word,ipa,freq
the,ð ə,69971
of,ʌ v,36412
and,ə n d,28853
to,t u,26158
a,ə,23195
in,ɪ n,21337
that,ð æ t,10594
is,ɪ z,10109
was,w ɑ z,9815
he,h i,9548
for,f ɔ ɹ,9489
it,ɪ t,8760
with,w ɪ ð,7289
as,æ z,7253
his,h ɪ z,6996
on,ɑ n,6741
be,b i,6377
at,æ t,5372
by,b aɪ,5306
i,aɪ,5164
this,ð ɪ s,5145
had,h æ d,5133
not,n ɑ t,4610
are,ɑ ɹ,4394
but,b ʌ t,4381
from,f ɹ ʌ m,4370
or,ɔ ɹ,4206
have,h æ v,3942
an,æ n,3740
they,ð eɪ,3620
which,w ɪ tʃ,3561
one,w ʌ n,3292
you,j u,3286
were,w ɝ,3284
her,h ɝ,3036
all,ɔ l,3001
she,ʃ i,2860
there,ð ɛ ɹ,2728
would,w ʊ d,2714
their,ð ɛ ɹ,2669
we,w i,2652
him,h ɪ m,2619
been,b ɪ n,2472
has,h æ z,2437
when,w ɛ n,2331
who,h u,2252
will,w ɪ l,2245
more,m ɔ ɹ,2215
if,ɪ f,2198
no,n oʊ,2139
out,aʊ t,2097
so,s oʊ,1985
said,s ɛ d,1961
what,w ʌ t,1908
up,ʌ p,1890
its,ɪ t s,1858
about,ə b aʊ t,1815
into,ɪ n t u,1791
than,ð æ n,1790
them,ð ɛ m,1788
can,k æ n,1772
only,oʊ n l i,1748
other,ʌ ð ɝ,1702
new,n u,1635
some,s ʌ m,1618
could,k ʊ d,1601
time,t aɪ m,1598
these,ð i z,1573
two,t u,1412
may,m eɪ,1402
then,ð ɛ n,1380
do,d u,1363
first,f ɝ s t,1361
any,ɛ n i,1344
my,m aɪ,1318
now,n aʊ,1314
such,s ʌ tʃ,1303
like,l aɪ k,1292
our,aʊ ɝ,1252
over,oʊ v ɝ,1236
man,m æ n,1207
me,m i,1181
even,i v ɪ n,1170
most,m oʊ s t,1159
made,m eɪ d,1125
after,æ f t ɝ,1069
also,ɔ l s oʊ,1069
did,d ɪ d,1044
many,m ɛ n i,1030
before,b ɪ f ɔ ɹ,1016
must,m ʌ s t,1013
through,θ ɹ u,971
back,b æ k,966
years,j ɪ ɹ z,950
much,m ʌ tʃ,937
where,w ɛ ɹ,937
