token,vowel,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
a_01,a,-129.0818,135.1361,-28.0666,-15.2925,-15.7708,-8.5889,20.6132,4.5395,-2.3214,3.7695,-0.4393,-0.4117,-1.1747
a_02,a,-131.5732,139.7057,-27.7367,-16.1869,-8.5351,-11.7394,11.5686,5.8225,-2.4955,3.4654,7.5951,3.7196,-4.8845
a_03,a,-125.4564,143.0522,-29.9319,-7.2657,-12.4548,-10.4737,15.8227,-0.3193,-3.6540,3.7248,4.6643,3.5666,-1.4490
a_04,a,-116.3876,141.5016,-36.6031,-9.3276,-8.6565,-8.9717,14.6174,0.8929,-2.9614,2.7940,5.6576,2.7793,-4.7489
a_05,a,-124.1748,141.1561,-32.8722,-12.7109,-12.1018,-11.1768,16.2752,4.4487,-2.2258,2.5192,3.2554,1.2684,-3.7419
a_06,a,-122.4832,140.3732,-34.2317,-11.3892,-6.6893,-8.7219,13.4425,0.9326,-3.8375,4.6900,8.3640,3.8845,-5.7170
a_07,a,-136.9701,142.7726,-28.6853,-16.3055,-11.0870,-11.5835,16.3231,9.3280,-1.5351,0.8511,3.2961,2.6915,-2.7305
a_08,a,-124.1375,139.6852,-33.1993,-12.9029,-6.7896,-10.0895,12.6437,2.5714,-2.7836,5.2915,7.8484,2.8550,-6.3793
a_09,a,-133.8477,139.5880,-26.4603,-12.7438,-13.4504,-11.6323,16.6694,4.5756,-1.6679,5.4426,4.0278,2.0586,-1.8536
a_10,a,-130.5484,137.1083,-29.0567,-15.4173,-11.8879,-9.7852,18.3531,7.1111,-2.1628,2.9720,2.0210,0.0339,-3.0571
a_11,a,-132.5750,142.6823,-24.1730,-14.2339,-10.4698,-14.1318,11.7937,7.1970,-1.9455,2.2100,5.3837,2.9073,-3.3504
a_12,a,-124.2236,141.0600,-32.9578,-11.4596,-11.5513,-9.8665,16.5012,2.9663,-3.3663,1.7990,4.1809,3.3146,-2.6690
a_13,a,-128.3193,137.4622,-26.0659,-12.6638,-8.2124,-11.0763,11.4411,1.3023,-4.3623,6.3737,9.0839,3.9806,-3.8567
a_14,a,-123.7091,141.8802,-35.0377,-9.5856,-13.4064,-8.7154,18.7377,1.1934,-3.3062,2.3396,3.2323,2.7470,-1.9787
a_15,a,-126.0842,143.3628,-27.7172,-9.8413,-11.1446,-12.7407,14.0729,3.9417,-2.9358,2.1576,4.3695,2.7162,-2.3490
a_16,a,-128.1257,137.1036,-27.2785,-14.7121,-6.6183,-12.0388,8.6757,3.2938,-3.4365,4.1037,8.9373,4.4607,-5.1539
a_17,a,-134.8789,140.5098,-24.0822,-12.1613,-13.5747,-12.3724,15.8089,4.0410,-2.2554,5.3061,4.1838,2.6634,-1.0219
a_18,a,-130.1791,141.0777,-31.1972,-14.1987,-7.1673,-10.0305,14.5711,6.2468,-2.5512,2.5932,5.9311,3.3362,-4.7472
a_19,a,-136.2045,135.1974,-25.6810,-15.7925,-14.2977,-9.3837,18.9925,5.7842,-1.7015,5.5460,2.7511,0.9036,-1.6145
a_20,a,-125.9692,141.1809,-33.0620,-12.5818,-8.6325,-9.4145,15.5355,4.7350,-2.6555,2.2909,5.2000,2.5315,-4.6047
i_01,i,-141.8851,99.7398,-6.0169,55.3786,8.7729,-10.9651,17.9536,-4.4694,-6.0023,-2.7034,-4.9467,-2.5692,-8.7199
