corpus,prev,next,count
news,<s>,i,25
news,<s>,late,4
news,<s>,later,6
news,<s>,mark,3
news,<s>,the,60
news,<s>,we,30
news,and,i,8
news,and,the,12
news,and,we,6
news,can,</s>,6
news,can,and,2
news,can,eat,4
news,can,go,9
news,car,</s>,10
news,car,and,4
news,eat,</s>,5
news,eat,and,2
news,eat,the,4
news,go,</s>,6
news,go,and,5
news,go,home,14
news,go,mark,2
news,go,my,3
news,go,the,2
news,home,</s>,16
news,home,and,3
news,i,can,15
news,i,eat,6
news,i,go,4
news,late,the,2
news,late,we,1
news,later,i,3
news,later,the,5
news,later,we,4
news,mark,</s>,2
news,mark,and,6
news,mark,can,3
news,mark,the,2
news,market,</s>,8
news,market,and,3
news,my,car,12
news,my,home,3
news,the,car,8
news,the,home,2
news,the,market,10
news,we,can,20
news,we,eat,3
news,we,go,12
nsc,<s>,can,8
nsc,<s>,i,20
nsc,<s>,late,2
nsc,<s>,later,18
nsc,<s>,the,6
nsc,<s>,we,22
nsc,and,i,3
nsc,and,the,2
nsc,and,we,4
nsc,can,</s>,4
nsc,can,go,6
nsc,can,lah,12
nsc,can,makan,5
nsc,car,</s>,3
nsc,car,lah,2
nsc,eat,</s>,3
nsc,eat,and,1
nsc,eat,lah,2
nsc,go,</s>,3
nsc,go,home,8
nsc,go,lah,5
nsc,go,makan,20
nsc,go,market,3
nsc,go,my,1
nsc,home,</s>,5
nsc,home,lah,6
nsc,i,can,6
nsc,i,eat,6
nsc,i,go,5
nsc,lah,</s>,30
nsc,lah,and,2
nsc,late,</s>,2
nsc,late,lah,3
nsc,later,can,3
nsc,later,go,4
nsc,later,i,5
nsc,later,we,14
nsc,makan,</s>,6
nsc,makan,and,1
nsc,makan,lah,14
nsc,mark,</s>,1
nsc,mark,can,1
nsc,market,</s>,2
nsc,market,lah,2
nsc,my,car,4
nsc,my,home,2
nsc,the,car,2
nsc,the,market,3
nsc,we,can,8
nsc,we,eat,4
nsc,we,go,25
