clip,frame,ll_n,ll_g,ll_ou
clip01,0,-1.131,-4.22,-6.777
clip01,1,-1.548,-4.255,-4.824
clip01,2,-1.271,-4.22,-5.355
clip01,3,-1.307,-3.596,-6.037
clip01,4,-1.796,-4.186,-5.79
clip01,5,-1.055,-3.901,-4.601
clip01,6,-1.509,-4.401,-5.953
clip01,7,-1.786,-4.026,-5.359
clip01,8,-2.06,-3.394,-5.322
clip01,9,-1.802,-4.606,-5.303
clip01,10,-2.646,-5.052,-1.392
clip01,11,-2.804,-5.632,-1.12
clip01,12,-5.022,-5.971,-1.291
clip01,13,-5.242,-5.618,-0.799
clip01,14,-4.206,-5.654,-1.362
clip01,15,-5.051,-6.332,-1.254
clip01,16,-4.61,-5.74,-1.223
clip01,17,-5.891,-6.401,-1.505
clip01,18,-4.847,-5.895,-1.637
clip01,19,-4.696,-5.632,-1.398
clip01,20,-4.476,-6.323,-1.299
clip01,21,-6.162,-5.504,-1.24
clip01,22,-5.512,-6.279,-1.429
clip01,23,-5.465,-5.711,-1.522
clip01,24,-5.007,-6.298,-1.818
clip01,25,-5.496,-5.166,-1.606
clip01,26,-5.527,-5.229,-2.023
clip01,27,-5.96,-5.699,-1.73
clip01,28,-4.943,-6.32,-1.602
clip01,29,-5.047,-5.362,-1.433
clip01,30,-4.688,-6.35,-1.887
clip01,31,-5.897,-5.843,-2.029
clip01,32,-5.22,-5.692,-1.613
clip01,33,-5.587,-5.053,-1.389
clip01,34,-6.347,-6.233,-2.276
clip01,35,-6.778,-6.398,-1.939
clip02,0,-2.738,-1.762,-5.071
clip02,1,-3.862,-1.045,-5.754
clip02,2,-3.088,-1.448,-5.397
clip02,3,-4.141,-1.736,-5.671
clip02,4,-3.751,-1.138,-4.881
clip02,5,-3.352,-2.062,-5.298
clip02,6,-4.101,-1.702,-5.351
clip02,7,-4.097,-1.437,-5.222
clip02,8,-4.638,-2.562,-1.335
clip02,9,-4.885,-2.554,-1.113
clip02,10,-5.894,-4.971,-1.424
clip02,11,-5.618,-5.133,-1.7
clip02,12,-6.071,-3.902,-1.844
clip02,13,-5.93,-3.877,-1.607
clip02,14,-5.724,-4.79,-1.232
clip02,15,-5.644,-5.917,-2.0
clip02,16,-5.584,-6.238,-1.353
clip02,17,-5.592,-4.732,-1.729
clip02,18,-5.676,-5.412,-1.781
clip02,19,-5.537,-3.695,-1.028
clip02,20,-5.717,-4.884,-1.454
clip02,21,-5.716,-5.025,-1.251
clip02,22,-5.283,-5.155,-1.747
clip02,23,-5.281,-4.496,-1.441
clip02,24,-6.333,-4.402,-1.512
clip02,25,-5.915,-4.361,-1.055
clip02,26,-5.09,-4.838,-1.499
clip02,27,-5.363,-5.202,-1.307
clip02,28,-5.935,-5.945,-1.368
clip02,29,-5.661,-6.11,-1.464
clip02,30,-6.626,-5.009,-1.718
clip02,31,-5.259,-6.13,-1.778
clip03,0,-1.013,-3.676,-4.703
clip03,1,-1.142,-3.518,-6.29
clip03,2,-1.344,-3.023,-5.602
clip03,3,-1.889,-4.475,-5.361
clip03,4,-1.979,-4.162,-5.485
clip03,5,-1.831,-3.594,-5.85
clip03,6,-2.281,-3.415,-5.227
clip03,7,-1.369,-3.384,-6.083
clip03,8,-1.708,-3.611,-5.155
clip03,9,-1.795,-3.135,-4.93
clip03,10,-1.477,-3.156,-5.87
clip03,11,-1.73,-4.392,-5.015
clip03,12,-2.129,-4.663,-1.646
clip03,13,-2.987,-6.464,-1.079
clip03,14,-5.182,-5.412,-1.302
clip03,15,-5.389,-5.283,-1.684
clip03,16,-5.081,-5.452,-1.64
clip03,17,-4.521,-4.916,-1.419
clip03,18,-5.255,-5.944,-1.979
clip03,19,-5.675,-5.253,-1.236
clip03,20,-4.872,-6.148,-1.256
clip03,21,-5.722,-5.483,-1.576
clip03,22,-5.962,-6.115,-1.167
clip03,23,-5.487,-4.975,-1.558
clip03,24,-5.115,-6.297,-1.552
clip03,25,-5.179,-5.374,-0.961
clip03,26,-6.342,-6.58,-1.471
clip03,27,-5.066,-6.056,-1.952
clip03,28,-5.178,-5.696,-1.351
clip03,29,-5.25,-6.662,-1.179
clip03,30,-4.53,-6.397,-1.738
clip03,31,-4.554,-6.178,-1.023
clip03,32,-6.101,-5.514,-1.38
clip03,33,-6.075,-6.117,-1.772
clip03,34,-5.733,-5.842,-1.66
clip03,35,-5.792,-5.486,-1.559
clip03,36,-5.447,-6.332,-0.652
clip03,37,-5.205,-6.128,-1.847
clip03,38,-6.517,-6.586,-1.495
clip03,39,-5.068,-6.175,-1.907
clip04,0,-4.811,-2.37,-4.934
clip04,1,-1.843,-1.044,-5.424
clip04,2,-3.719,-1.216,-5.618
clip04,3,-4.114,-2.13,-5.662
clip04,4,-3.819,-1.299,-5.621
clip04,5,-2.875,-1.204,-5.841
clip04,6,-3.998,-1.511,-5.661
clip04,7,-3.475,-1.069,-5.975
clip04,8,-3.226,-1.47,-5.981
clip04,9,-5.045,-3.08,-2.0
clip04,10,-5.702,-2.448,-1.11
clip04,11,-5.329,-4.897,-0.714
clip04,12,-6.193,-5.577,-1.107
clip04,13,-5.144,-5.119,-1.993
clip04,14,-5.491,-5.785,-1.801
clip04,15,-5.669,-4.805,-1.622
clip04,16,-5.602,-5.163,-1.552
clip04,17,-4.844,-5.701,-1.823
clip04,18,-6.472,-4.597,-0.403
clip04,19,-6.485,-4.581,-1.473
clip04,20,-6.152,-5.399,-1.653
clip04,21,-5.939,-4.706,-1.775
clip04,22,-6.157,-4.373,-1.56
clip04,23,-4.745,-4.927,-2.151
clip04,24,-6.416,-5.118,-1.406
clip04,25,-5.162,-4.559,-1.809
clip04,26,-6.411,-5.635,-1.275
clip04,27,-5.532,-5.924,-1.849
clip04,28,-5.518,-5.611,-1.762
clip04,29,-5.651,-5.364,-1.255
clip04,30,-5.955,-6.383,-1.493
clip04,31,-5.817,-5.616,-1.646
clip04,32,-6.045,-4.846,-1.698
clip04,33,-6.066,-5.314,-1.441
clip05,0,-1.272,-1.982,-5.183
clip05,1,-1.749,-1.623,-5.808
clip05,2,-1.502,-0.887,-5.932
clip05,3,-1.911,-1.892,-5.974
clip05,4,-1.223,-1.765,-5.032
clip05,5,-1.855,-1.783,-5.661
clip05,6,-0.927,-2.087,-5.819
clip05,7,-1.285,-2.683,-6.022
clip05,8,-1.571,-1.273,-5.143
clip05,9,-0.97,-0.745,-5.156
clip05,10,-1.56,-0.721,-5.256
clip05,11,-2.324,-5.622,-1.595
clip05,12,-2.979,-4.778,-1.388
clip05,13,-4.971,-6.245,-1.759
clip05,14,-5.122,-5.777,-2.134
clip05,15,-4.833,-4.453,-1.599
clip05,16,-3.88,-5.485,-1.65
clip05,17,-6.48,-6.395,-1.538
clip05,18,-4.873,-6.07,-1.415
clip05,19,-4.725,-5.959,-1.404
clip05,20,-5.689,-5.85,-2.08
clip05,21,-4.831,-6.183,-1.413
clip05,22,-5.37,-5.722,-1.502
clip05,23,-4.611,-5.998,-1.128
clip05,24,-5.625,-6.043,-1.726
clip05,25,-5.383,-6.051,-1.658
clip05,26,-5.903,-5.789,-1.888
clip05,27,-5.058,-5.512,-0.657
clip05,28,-5.437,-4.855,-1.389
clip05,29,-5.864,-6.495,-1.621
clip05,30,-5.895,-6.333,-1.446
clip05,31,-6.075,-5.833,-1.816
clip05,32,-4.295,-7.318,-2.1
clip05,33,-5.424,-5.745,-1.999
clip05,34,-5.329,-5.883,-1.629
clip05,35,-5.194,-5.864,-1.462
clip05,36,-5.574,-5.56,-1.538
clip05,37,-5.235,-5.229,-1.566
clip06,0,-3.73,-1.364,-5.713
clip06,1,-3.421,-1.402,-5.38
clip06,2,-3.797,-1.329,-5.654
clip06,3,-3.659,-1.732,-6.226
clip06,4,-3.861,-1.504,-5.505
clip06,5,-3.261,-1.308,-4.899
clip06,6,-3.184,-1.323,-7.165
clip06,7,-5.576,-2.828,-1.684
clip06,8,-5.701,-2.402,-1.188
clip06,9,-5.566,-4.969,-1.69
clip06,10,-5.765,-5.344,-1.933
clip06,11,-5.619,-4.559,-1.744
clip06,12,-5.792,-5.825,-1.744
clip06,13,-5.276,-5.305,-1.064
clip06,14,-6.15,-5.434,-1.366
clip06,15,-5.409,-6.036,-1.336
clip06,16,-5.908,-4.785,-1.939
clip06,17,-6.229,-4.705,-1.552
clip06,18,-5.492,-5.406,-1.502
clip06,19,-5.662,-5.122,-1.267
clip06,20,-5.901,-4.982,-1.659
clip06,21,-6.481,-5.21,-1.471
clip06,22,-5.83,-5.211,-1.91
clip06,23,-5.734,-6.553,-1.076
clip06,24,-5.468,-5.312,-1.133
clip06,25,-5.426,-5.405,-1.505
clip06,26,-5.658,-6.513,-1.963
clip06,27,-5.772,-5.359,-1.468
clip06,28,-5.7,-5.666,-1.292
clip06,29,-6.029,-6.025,-1.401
clip07,0,-1.415,-3.209,-4.994
clip07,1,-1.613,-4.201,-4.788
clip07,2,-2.022,-3.552,-5.217
clip07,3,-1.572,-4.02,-4.648
clip07,4,-1.674,-4.296,-5.634
clip07,5,-1.728,-4.159,-5.376
clip07,6,-1.127,-3.479,-5.069
clip07,7,-1.32,-2.669,-5.682
clip07,8,-1.613,-4.256,-6.023
clip07,9,-1.435,-3.429,-6.405
clip07,10,-1.553,-4.071,-5.682
clip07,11,-1.176,-3.57,-5.343
clip07,12,-1.677,-3.797,-5.266
clip07,13,-2.48,-5.585,-1.491
clip07,14,-2.391,-6.007,-1.107
clip07,15,-5.362,-5.944,-2.06
clip07,16,-4.717,-5.41,-0.968
clip07,17,-4.46,-5.701,-1.715
clip07,18,-4.546,-5.746,-1.333
clip07,19,-6.104,-5.327,-1.309
clip07,20,-4.93,-5.49,-2.089
clip07,21,-3.999,-6.896,-1.329
clip07,22,-5.371,-5.295,-1.335
clip07,23,-5.139,-5.942,-1.385
clip07,24,-5.034,-6.464,-1.742
clip07,25,-5.517,-5.5,-1.118
clip07,26,-5.019,-5.864,-1.906
clip07,27,-4.656,-6.038,-1.222
clip07,28,-5.166,-5.06,-1.454
clip07,29,-5.009,-5.816,-1.944
clip07,30,-5.49,-6.159,-1.91
clip07,31,-5.815,-5.335,-1.103
clip07,32,-5.023,-6.716,-1.649
clip07,33,-5.301,-6.339,-1.754
clip07,34,-5.392,-5.511,-2.031
clip07,35,-5.527,-5.719,-1.483
clip07,36,-4.98,-5.39,-1.636
clip07,37,-4.938,-5.62,-1.932
clip07,38,-5.135,-5.265,-1.385
clip07,39,-4.687,-6.117,-0.812
clip07,40,-6.349,-5.564,-1.015
clip07,41,-5.042,-6.479,-1.234
clip07,42,-4.912,-5.946,-0.976
clip07,43,-5.406,-6.494,-1.975
clip08,0,-1.917,-2.026,-4.301
clip08,1,-2.069,-1.998,-5.386
clip08,2,-0.894,-1.158,-5.978
clip08,3,-1.546,-1.183,-4.878
clip08,4,-2.071,-1.902,-5.035
clip08,5,-1.115,-1.456,-5.44
clip08,6,-1.997,-2.163,-5.118
clip08,7,-1.046,-1.191,-5.161
clip08,8,-1.001,-1.732,-4.364
clip08,9,-0.904,-1.826,-4.907
clip08,10,-4.815,-2.183,-1.927
clip08,11,-5.293,-2.931,-1.686
clip08,12,-4.943,-5.386,-2.072
clip08,13,-6.153,-4.829,-1.124
clip08,14,-5.579,-5.612,-2.193
clip08,15,-5.589,-5.564,-1.154
clip08,16,-5.657,-6.204,-2.146
clip08,17,-6.817,-5.698,-1.941
clip08,18,-5.702,-6.107,-1.249
clip08,19,-5.075,-5.433,-2.064
clip08,20,-5.319,-5.206,-1.461
clip08,21,-6.513,-4.591,-1.36
clip08,22,-6.319,-5.268,-1.069
clip08,23,-5.821,-5.05,-1.332
clip08,24,-6.662,-5.99,-1.239
clip08,25,-5.585,-4.807,-1.745
clip08,26,-5.869,-5.682,-1.532
clip08,27,-6.173,-5.66,-1.123
clip08,28,-5.824,-5.072,-1.375
clip08,29,-6.391,-5.308,-1.02
clip08,30,-6.002,-4.835,-2.287
clip08,31,-5.259,-5.208,-1.398
clip08,32,-5.801,-4.951,-1.142
clip08,33,-6.363,-5.323,-1.579
clip08,34,-5.612,-4.939,-1.367
clip08,35,-6.431,-5.927,-1.441
clip09,0,-1.747,-3.094,-5.269
clip09,1,-1.322,-3.158,-4.987
clip09,2,-1.835,-3.277,-5.228
clip09,3,-1.217,-2.429,-5.841
clip09,4,-1.096,-2.984,-5.269
clip09,5,-1.593,-2.666,-5.506
