speaker,group,vowel,word,duration_ms,f0,f1,f2,f3
1,boy,æ,had,257,238,630,2423,3166
1,boy,ɑ,hod,212,241,831,1676,2602
1,boy,ɔ,hawed,242,247,725,1384,2642
1,boy,ɛ,head,184,214,713,2095,3129
1,boy,e,hayed,222,230,534,2690,3335
1,boy,ɝ,heard,227,240,608,1733,2159
1,boy,ɪ,hid,197,263,551,2393,3324
1,boy,i,heed,237,277,554,3022,3541
1,boy,o,hoed,267,250,693,1235,2850
1,boy,ʊ,hood,184,247,553,1495,2868
1,boy,ʌ,hud,205,237,632,1573,2913
1,boy,u,who'd,253,246,502,1540,3176
2,boy,æ,had,359,286,829,2495,3218
2,boy,ɑ,hod,328,276,1020,1555,2742
2,boy,ɔ,hawed,327,263,802,1287,2729
2,boy,ɛ,head,195,284,674,2196,3047
2,boy,e,hayed,324,277,556,2482,3428
2,boy,ɝ,heard,395,283,560,1687,1990
2,boy,ɪ,hid,239,289,563,2608,3476
2,boy,i,heed,317,287,344,3193,3579
2,boy,o,hoed,336,258,557,1106,2808
2,boy,ʊ,hood,253,292,570,1148,2947
2,boy,ʌ,hud,161,269,731,1550,3363
2,boy,u,who'd,327,287,559,1312,2870
3,boy,æ,had,335,214,631,2801,3508
3,boy,ɑ,hod,298,214,982,1823,2865
3,boy,ɔ,hawed,334,207,805,1299,2582
3,boy,ɛ,head,260,191,735,2315,3286
3,boy,e,hayed,286,201,608,2836,3599
3,boy,ɝ,heard,280,199,622,1837,2114
3,boy,ɪ,hid,284,228,571,2689,3572
3,boy,i,heed,277,219,441,3081,3975
3,boy,o,hoed,310,211,624,1456,2933
3,boy,ʊ,hood,247,200,574,1808,2985
3,boy,ʌ,hud,226,210,823,1655,2926
3,boy,u,who'd,304,194,506,2378,2991
4,boy,æ,had,398,239,712,2608,3247
4,boy,ɑ,hod,357,250,932,1874,2994
4,boy,ɔ,hawed,304,244,817,1329,2965
4,boy,ɛ,head,364,245,735,2448,3359
4,boy,e,hayed,323,252,574,2490,3189
4,boy,ɝ,heard,386,230,580,1990,2245
4,boy,ɪ,hid,268,249,513,2447,3454
4,boy,i,heed,318,260,509,2873,3475
4,boy,o,hoed,322,250,685,1128,3181
4,boy,ʊ,hood,343,251,558,1742,3271
4,boy,ʌ,hud,293,241,756,1672,3183
4,boy,u,who'd,292,258,503,1104,3346
5,boy,æ,had,267,200,748,2589,3042
5,boy,ɑ,hod,270,227,1052,1659,3433
5,boy,ɔ,hawed,236,199,780,1236,3360
5,boy,ɛ,head,207,219,787,2176,3307
5,boy,e,hayed,247,215,611,2761,3269
5,boy,ɝ,heard,228,224,573,1562,2227
5,boy,ɪ,hid,209,226,479,2449,3200
5,boy,i,heed,242,244,475,3203,3801
5,boy,o,hoed,247,197,589,1050,3083
5,boy,ʊ,hood,197,218,543,1473,3166
5,boy,ʌ,hud,150,217,637,1424,3328
5,boy,u,who'd,260,240,481,1226,3131
6,boy,æ,had,323,262,769,2203,3126
6,boy,ɑ,hod,294,308,881,1543,3076
6,boy,ɔ,hawed,378,301,891,1383,3039
6,boy,ɛ,head,272,297,867,2054,3227
6,boy,e,hayed,361,320,629,2663,3132
6,boy,ɝ,heard,375,294,612,1645,2306
6,boy,ɪ,hid,268,296,590,2354,3416
6,boy,i,heed,310,307,488,3063,4430
6,boy,o,hoed,311,315,641,1243,3443
6,boy,ʊ,hood,281,305,624,1513,3061
6,boy,ʌ,hud,310,289,822,1489,3281
6,boy,u,who'd,303,330,609,1658,2644
7,boy,æ,had,316,216,870,2281,3077
7,boy,ɑ,hod,340,202,762,1604,2991
7,boy,ɔ,hawed,353,207,610,993,2946
7,boy,ɛ,head,135,205,605,2445,3265
7,boy,e,hayed,285,223,606,2396,3015
7,boy,ɝ,heard,261,208,477,1809,2039
7,boy,ɪ,hid,205,215,447,2784,3287
7,boy,i,heed,241,220,434,3127,3566
7,boy,o,hoed,341,248,554,896,2870
7,boy,ʊ,hood,200,218,469,1097,2801
7,boy,ʌ,hud,242,201,667,1442,2882
7,boy,u,who'd,262,228,440,1124,3117
8,boy,æ,had,245,220,709,2565,3526
8,boy,ɑ,hod,285,230,987,1610,3010
8,boy,ɔ,hawed,313,238,845,1111,3049
8,boy,ɛ,head,193,238,699,2202,3393
8,boy,e,hayed,258,235,555,2377,3123
8,boy,ɝ,heard,262,241,505,1691,2074
8,boy,ɪ,hid,232,239,536,2319,3351
8,boy,i,heed,296,251,501,2760,3262
8,boy,o,hoed,210,237,516,1181,3079
8,boy,ʊ,hood,222,237,615,1345,3346
8,boy,ʌ,hud,228,233,695,1423,3210
8,boy,u,who'd,211,255,503,1119,3100
9,boy,æ,had,396,205,634,2555,3121
9,boy,ɑ,hod,413,209,1123,1640,2684
9,boy,ɔ,hawed,316,208,695,1288,3014
9,boy,ɛ,head,234,218,646,2435,3262
9,boy,e,hayed,314,197,580,2754,3405
9,boy,ɝ,heard,326,220,620,1823,2188
